,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,BiEncScore,CrossEncScore,Alternates_CE_Top3,IsConfident
2,Acradis PAA Salary,Design Management,Design Manager - North,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Design Manager - North,Design manager,Ro_50_10_22,0.5543,-3.6704,"[{'title': 'Design roles', 'code': 'Ro_50', 'ce_score': -6.777615547180176}, {'title': 'Building design roles', 'code': 'Ro_50_10', 'ce_score': -7.7109551429748535}]",False
3,Acradis PAA Salary,Project Management,Digital Engineering Discipline Lead,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Digital Engineering Discipline Lead,Digital engineer,Ro_50_20_26,0.5235,-3.7867,"[{'title': 'Project manager', 'code': 'Ro_30_10_67', 'ce_score': -5.574281215667725}, {'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -7.622633934020996}]",False
4,Acradis PAA Salary,Project Management,Innovation & Value Engineering Lead,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Innovation & Value Engineering Lead,Project manager,Ro_30_10_67,0.4464,-5.0383,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -7.601230621337891}, {'title': 'Development control officer', 'code': 'Ro_30_30_20', 'ce_score': -7.682028770446777}]",False
5,Acradis PAA Salary,Design Management,AMT Design Lead,Classification: Acradis PAA Salary | Discipline: Design Management | Position: AMT Design Lead,Design lead,Ro_30_50_25,0.4939,-2.8614,"[{'title': 'Design manager', 'code': 'Ro_50_10_22', 'ce_score': -4.647350311279297}, {'title': 'Inclusive design engineer', 'code': 'Ro_50_10_42', 'ce_score': -6.970632076263428}]",False
6,Acradis PAA Salary,Building Structures,Buildings Structures Lead,Classification: Acradis PAA Salary | Discipline: Building Structures | Position: Buildings Structures Lead,Building surveyor,Ro_70_10_11,0.4749,-7.8832,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'ce_score': -8.016742706298828}, {'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'ce_score': -8.065908432006836}]",False
7,Acradis PAA Salary,Road Civil,Roads & Civil Discipline Lead,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Roads & Civil Discipline Lead,Civil engineer,Ro_50_20_11,0.4066,-7.8888,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -9.01938247680664}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.213698387145996}]",False
8,Acradis PAA Salary,Road Design,Road Designer Discipline Lead,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Designer Discipline Lead,Urban designer,Ro_50_30_94,0.5017,-7.2845,"[{'title': 'Principal designer', 'code': 'Ro_30_30_68', 'ce_score': -7.416421413421631}, {'title': 'Landscape designer', 'code': 'Ro_50_30_48', 'ce_score': -7.481034278869629}]",False
9,Acradis PAA Salary,Digital Engineering,Digital Engineering Coordinator,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Digital Engineering Coordinator,Digital engineer,Ro_50_20_26,0.577,-2.3978,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -6.0925068855285645}, {'title': 'Telecommunication engineer', 'code': 'Ro_50_20_88', 'ce_score': -6.2674970626831055}]",False
10,Acradis PAA Salary,Design Management,Traffic Staging Zone Design Manager,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Traffic Staging Zone Design Manager,Traffic engineer,Ro_50_20_90,0.5777,-6.1624,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -6.24385929107666}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -7.476703643798828}]",False
11,Acradis PAA Salary,Road Civil,Roads Package Lead - Zone 3,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Roads Package Lead - Zone 3,Highways engineer,Ro_50_20_41,0.4128,-9.6809,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.864809036254883}, {'title': 'Highways operative', 'code': 'Ro_70_70_37', 'ce_score': -10.128988265991211}]",False
12,Acradis PAA Salary,Road Civil,Signage package lead,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Signage package lead,Signage designer,Ro_50_10_80,0.4163,-8.6679,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -10.07158088684082}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -10.218006134033203}]",False
