ID,ClassificationID,ClassificationCode,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,MatchScore,Alternates
2120,35.0,ARC_S,Acradis PAA Salary,Design Management,Design Manager - North,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Design Manager - North,Unclassified,Ro_00_Unclassified,0.5543,"[{'title': 'Design manager', 'code': 'Ro_50_10_22', 'score': 0.5528589487075806}, {'title': 'Building designer', 'code': 'Ro_50_10_10', 'score': 0.5080265402793884}]"
2121,35.0,ARC_S,Acradis PAA Salary,Project Management,Digital Engineering Discipline Lead,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Digital Engineering Discipline Lead,Unclassified,Ro_00_Unclassified,0.5235,"[{'title': 'Telecommunication engineer', 'code': 'Ro_50_20_88', 'score': 0.46051517128944397}, {'title': 'Project manager', 'code': 'Ro_30_10_67', 'score': 0.458419531583786}]"
2122,35.0,ARC_S,Acradis PAA Salary,Project Management,Innovation & Value Engineering Lead,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Innovation & Value Engineering Lead,Unclassified,Ro_00_Unclassified,0.4464,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'score': 0.422145277261734}, {'title': 'Project manager', 'code': 'Ro_30_10_67', 'score': 0.4197000563144684}]"
2123,35.0,ARC_S,Acradis PAA Salary,Design Management,AMT Design Lead,Classification: Acradis PAA Salary | Discipline: Design Management | Position: AMT Design Lead,Unclassified,Ro_00_Unclassified,0.4939,"[{'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'score': 0.45036715269088745}, {'title': 'Building designer', 'code': 'Ro_50_10_10', 'score': 0.44428086280822754}]"
2124,35.0,ARC_S,Acradis PAA Salary,Building Structures,Buildings Structures Lead,Classification: Acradis PAA Salary | Discipline: Building Structures | Position: Buildings Structures Lead,Unclassified,Ro_00_Unclassified,0.4749,"[{'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'score': 0.43303388357162476}, {'title': 'Facade engineer', 'code': 'Ro_50_10_29', 'score': 0.4299499988555908}]"
2125,35.0,ARC_S,Acradis PAA Salary,Road Civil,Roads & Civil Discipline Lead,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Roads & Civil Discipline Lead,Unclassified,Ro_00_Unclassified,0.4066,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.4065852165222168}, {'title': 'Highways operative', 'code': 'Ro_70_70_37', 'score': 0.40352630615234375}]"
2126,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Designer Discipline Lead,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Designer Discipline Lead,Unclassified,Ro_00_Unclassified,0.5017,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.4797491431236267}, {'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.47448498010635376}]"
2127,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Digital Engineering Coordinator,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Digital Engineering Coordinator,Unclassified,Ro_00_Unclassified,0.577,"[{'title': 'Telecommunication engineer', 'code': 'Ro_50_20_88', 'score': 0.5029470324516296}, {'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'score': 0.4578576683998108}]"
2128,35.0,ARC_S,Acradis PAA Salary,Design Management,Traffic Staging Zone Design Manager,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Traffic Staging Zone Design Manager,Unclassified,Ro_00_Unclassified,0.5777,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.5273308753967285}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.4986840486526489}]"
2129,35.0,ARC_S,Acradis PAA Salary,Road Civil,Roads Package Lead - Zone 3,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Roads Package Lead - Zone 3,Unclassified,Ro_00_Unclassified,0.4128,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.41088956594467163}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.41066980361938477}]"
2130,35.0,ARC_S,Acradis PAA Salary,Road Civil,Signage package lead,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Signage package lead,Unclassified,Ro_00_Unclassified,0.4163,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.40515995025634766}, {'title': 'Resident liaison officer', 'code': 'Ro_30_10_71', 'score': 0.40234100818634033}]"
2131,8.0,P7,Experienced engineer 2,Road Civil,Road Design Lead - Zone 1,Classification: Experienced engineer 2 | Discipline: Road Civil | Position: Road Design Lead - Zone 1,Unclassified,Ro_00_Unclassified,0.5609,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.5363328456878662}, {'title': 'Design lead', 'code': 'Ro_30_50_25', 'score': 0.518114447593689}]"
2132,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Design Lead - Zone 2,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Design Lead - Zone 2,Unclassified,Ro_00_Unclassified,0.4422,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.4264777898788452}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.42443686723709106}]"
2133,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Design Lead - Optioneering,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Design Lead - Optioneering,Unclassified,Ro_00_Unclassified,0.4652,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.4465734362602234}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.4446936547756195}]"
2134,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Designer - Optioneering,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Designer - Optioneering,Unclassified,Ro_00_Unclassified,0.491,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.48240983486175537}, {'title': 'Urban designer', 'code': 'Ro_50_30_94', 'score': 0.47121375799179077}]"
2135,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Road Design Lead - Traffic Staging,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Road Design Lead - Traffic Staging,Unclassified,Ro_00_Unclassified,0.5701,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.5362133979797363}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.5356460809707642}]"
2136,35.0,ARC_S,Acradis PAA Salary,Flooding,Flood Modeller,Classification: Acradis PAA Salary | Discipline: Flooding | Position: Flood Modeller,Unclassified,Ro_00_Unclassified,0.5654,"[{'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'score': 0.469476580619812}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'score': 0.4644058346748352}]"
2137,35.0,ARC_S,Acradis PAA Salary,Drainage,Tunnel Drainage Lead,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Tunnel Drainage Lead,Unclassified,Ro_00_Unclassified,0.4741,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.38930797576904297}, {'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'score': 0.37115898728370667}]"
