ID,ClassificationID,ClassificationCode,Classification,Position
59,,,,
2119,35.0,ARC_S,Acradis PAA Salary,Commercial Manager
2120,35.0,ARC_S,Acradis PAA Salary,Design Manager - North
2121,35.0,ARC_S,Acradis PAA Salary,Digital Engineering Discipline Lead
2122,35.0,ARC_S,Acradis PAA Salary,Innovation & Value Engineering Lead
2123,35.0,ARC_S,Acradis PAA Salary,AMT Design Lead
2124,35.0,ARC_S,Acradis PAA Salary,Buildings Structures Lead
2125,35.0,ARC_S,Acradis PAA Salary,Roads & Civil Discipline Lead
2126,35.0,ARC_S,Acradis PAA Salary,Road Designer Discipline Lead
2127,35.0,ARC_S,Acradis PAA Salary,Digital Engineering Coordinator
2128,35.0,ARC_S,Acradis PAA Salary,Traffic Staging Zone Design Manager
2129,35.0,ARC_S,Acradis PAA Salary,Roads Package Lead - Zone 3
2130,35.0,ARC_S,Acradis PAA Salary,Signage package lead
2131,8.0,P7,Experienced engineer 2,Road Design Lead - Zone 1
2132,35.0,ARC_S,Acradis PAA Salary,Road Design Lead - Zone 2
2133,35.0,ARC_S,Acradis PAA Salary,Road Design Lead - Optioneering
2134,35.0,ARC_S,Acradis PAA Salary,Road Designer - Optioneering
2135,35.0,ARC_S,Acradis PAA Salary,Road Design Lead - Traffic Staging
2136,35.0,ARC_S,Acradis PAA Salary,Flood Modeller
2137,35.0,ARC_S,Acradis PAA Salary,Tunnel Drainage Lead
2138,8.0,P7,Experienced engineer 2,Surface Drainage Engineer
2139,38.0,ARC_G,Arcadis GEC,Drainage Engineer
2140,35.0,ARC_S,Acradis PAA Salary,Tunnel Drainage
2141,35.0,ARC_S,Acradis PAA Salary,Tunnel Drainage
2142,35.0,ARC_S,Acradis PAA Salary,Pavement Discipline Lead
2143,35.0,ARC_S,Acradis PAA Salary,Pavement Lead
2144,35.0,ARC_S,Acradis PAA Salary,Pavement Engineer
2145,11.0,P8a,Engineer 2,Utilities Lead - South
2146,35.0,ARC_S,Acradis PAA Salary,Utilities Engineer - South
2147,13.0,P9,Graduate Engineer,Utilities Engineer - North
2148,38.0,ARC_G,Arcadis GEC,Team Member
2149,35.0,ARC_S,Acradis PAA Salary,Utilities Modeller 
2150,35.0,ARC_S,Acradis PAA Salary,Utilities Engineer
2151,35.0,ARC_S,Acradis PAA Salary,Geotechnical Lead - Cut & Covers
2152,35.0,ARC_S,Acradis PAA Salary,Geotech Engineer - Cut & Covers
2153,35.0,ARC_S,Acradis PAA Salary,Geotech Design Structures Lead
2154,6.0,P5,Senior Engineer ,Geotech Design Structures
2155,35.0,ARC_S,Acradis PAA Salary,Hydrogeology Lead
2156,6.0,P5,Senior Engineer ,STSP Lead
2157,35.0,ARC_S,Acradis PAA Salary,Bridges/Structures - South
2158,35.0,ARC_S,Acradis PAA Salary,Package Lead
2159,38.0,ARC_G,Arcadis GEC,Bridges/Structures - North - GEC
2160,38.0,ARC_G,Arcadis GEC,Civil Structures - Bridges - Team 4
2161,38.0,ARC_G,Arcadis GEC,Retaining Wall Engineer - South
2162,35.0,ARC_S,Acradis PAA Salary,Cross passage permanent lining and collar
2163,11.0,P8a,Engineer 2,In-tunnel Structures Engineer
2164,15.0,P21,Leading drafter/modeller,Principal Structures CAD
