ID,ClassificationID,ClassificationCode,Classification,Discipline,Position
59,,,,,
2119,35.0,ARC_S,Acradis PAA Salary,Project Management,Commercial Manager
2120,35.0,ARC_S,Acradis PAA Salary,Design Management,Design Manager - North
2121,35.0,ARC_S,Acradis PAA Salary,Project Management,Digital Engineering Discipline Lead
2122,35.0,ARC_S,Acradis PAA Salary,Project Management,Innovation & Value Engineering Lead
2123,35.0,ARC_S,Acradis PAA Salary,Design Management,AMT Design Lead
2124,35.0,ARC_S,Acradis PAA Salary,Building Structures,Buildings Structures Lead
2125,35.0,ARC_S,Acradis PAA Salary,Road Civil,Roads & Civil Discipline Lead
2126,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Designer Discipline Lead
2127,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Digital Engineering Coordinator
2128,35.0,ARC_S,Acradis PAA Salary,Design Management,Traffic Staging Zone Design Manager
2129,35.0,ARC_S,Acradis PAA Salary,Road Civil,Roads Package Lead - Zone 3
2130,35.0,ARC_S,Acradis PAA Salary,Road Civil,Signage package lead
2131,8.0,P7,Experienced engineer 2,Road Civil,Road Design Lead - Zone 1
2132,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Design Lead - Zone 2
2133,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Design Lead - Optioneering
2134,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Designer - Optioneering
2135,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Road Design Lead - Traffic Staging
2136,35.0,ARC_S,Acradis PAA Salary,Flooding,Flood Modeller
2137,35.0,ARC_S,Acradis PAA Salary,Drainage,Tunnel Drainage Lead
2138,8.0,P7,Experienced engineer 2,Drainage,Surface Drainage Engineer
2139,38.0,ARC_G,Arcadis GEC,Drainage,Drainage Engineer
2140,35.0,ARC_S,Acradis PAA Salary,Drainage,Tunnel Drainage
2141,35.0,ARC_S,Acradis PAA Salary,Drainage,Tunnel Drainage
2142,35.0,ARC_S,Acradis PAA Salary,Pavements,Pavement Discipline Lead
2143,35.0,ARC_S,Acradis PAA Salary,Pavements,Pavement Lead
2144,35.0,ARC_S,Acradis PAA Salary,Pavements,Pavement Engineer
2145,11.0,P8a,Engineer 2,Utilities,Utilities Lead - South
2146,35.0,ARC_S,Acradis PAA Salary,Utilities,Utilities Engineer - South
2147,13.0,P9,Graduate Engineer,Utilities,Utilities Engineer - North
2148,38.0,ARC_G,Arcadis GEC,Utilities,Team Member
2149,35.0,ARC_S,Acradis PAA Salary,Utilities,Utilities Modeller 
2150,35.0,ARC_S,Acradis PAA Salary,Utilities,Utilities Engineer
2151,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical Lead - Cut & Covers
2152,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotech Engineer - Cut & Covers
2153,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotech Design Structures Lead
2154,6.0,P5,Senior Engineer ,Geotechnical,Geotech Design Structures
2155,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Hydrogeology Lead
2156,6.0,P5,Senior Engineer ,Structures,STSP Lead
2157,35.0,ARC_S,Acradis PAA Salary,Structures,Bridges/Structures - South
2158,35.0,ARC_S,Acradis PAA Salary,Structures,Package Lead
2159,38.0,ARC_G,Arcadis GEC,Structures,Bridges/Structures - North - GEC
2160,38.0,ARC_G,Arcadis GEC,Structures,Civil Structures - Bridges - Team 4
2161,38.0,ARC_G,Arcadis GEC,Structures,Retaining Wall Engineer - South
2162,35.0,ARC_S,Acradis PAA Salary,Tunnels,Cross passage permanent lining and collar
2163,11.0,P8a,Engineer 2,In-tunnel Structures,In-tunnel Structures Engineer
2164,15.0,P21,Leading drafter/modeller,Structures,Principal Structures CAD
2165,13.0,P9,Graduate Engineer,Tunnels,Graduate Tunnel Engineer
2166,4.0,P3,Senior Associate,Tunnels,Tunnel IV
2167,14.0,P20,Senior Leading Drafter/Modeller,Tunnels,Lead Tunnel Drafter
2168,35.0,ARC_S,Acradis PAA Salary,Structures,Structures Principal Technician
2169,38.0,ARC_G,Arcadis GEC,Drafting,BIM Modeller/ Drafter
2170,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Structures CAD and REVIT modelling Lead
2171,35.0,ARC_S,Acradis PAA Salary,Drafting,Revit Modeller / Drafter
2172,16.0,P22,Senior drafter/modeller,Structures,Structures Technician
2173,15.0,P21,Leading drafter/modeller,Structures,Structures Principal Technician
2174,35.0,ARC_S,Acradis PAA Salary,Road Civil,Street Lighting SRE
2175,35.0,ARC_S,Acradis PAA Salary,ITS (Surface),ITS SRE
2176,35.0,ARC_S,Acradis PAA Salary,Utilities,Utilities & Tunnel Conduits SRE
2177,15.0,P21,Leading drafter/modeller,Buildings,Buildings CAD/REVIT Lead
2178,35.0,ARC_S,Acradis PAA Salary,In-tunnel Structures,Buildings Structures Lead
2179,35.0,ARC_S,Acradis PAA Salary,Structures,Bridges Lead
2180,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Contamination Lead
2181,35.0,ARC_S,Acradis PAA Salary,Structures,Cut & Cover Lead
2182,35.0,ARC_S,Acradis PAA Salary,Durability,Durability Lead
2183,4.0,P3,Senior Associate,Structures,Sustainability Lead
2184,35.0,ARC_S,Acradis PAA Salary,Structures,NTSP Lead
2185,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Traffic Modelling SRE
2186,3.0,P2,Technical Director,Environment,Environmental Consultant
2187,35.0,ARC_S,Acradis PAA Salary,Environment,Environmental Consultant
2188,4.0,P3,Senior Associate,Contamination,Contamination Consultant
2189,5.0,P4,Associate,Environment,Sustainability Consultant
2190,8.0,P7,Experienced engineer 2,Environment,Sustainability Consultant
2191,16.0,P22,Senior drafter/modeller,Drainage,Drainage CAD
2192,5.0,P4,Associate,Digital Engineering,Digital Engineering Expert - PW
2193,11.0,P8a,Engineer 2,Alliance Wide PM,Document Controller
2194,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Reviewer
2195,35.0,ARC_S,Acradis PAA Salary,ALT,ALT Member
2196,3.0,P2,Technical Director,Tunnels,Shafts Discipline Lead
2197,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Traffic Modelling Lead
2198,10.0,P8,Engineer 1,Traffic Modelling,Traffic Modeller - North
2199,13.0,P9,Graduate Engineer,Traffic Modelling,Traffic Modeller - North
2200,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Temp Works Traffic Modeller
2201,8.0,P7,Experienced engineer 2,Road Civil,Maintenance & Operational Centers
2202,11.0,P8a,Engineer 2,Road Civil,Road Engineer
2203,35.0,ARC_S,Acradis PAA Salary,Retaining Walls,Retaining Wall Lead
2204,35.0,ARC_S,Acradis PAA Salary,Flooding,Flood Modeller
2205,8.0,P7,Experienced engineer 2,Project Management,Lead Cost Controller
2206,10.0,P8,Engineer 1,Geotechnical,Geotechnical Engineer
2207,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Designer - Optioneering
2208,35.0,ARC_S,Acradis PAA Salary,Drafting,Road CAD
2209,35.0,ARC_S,Acradis PAA Salary,Road Civil,Roads Lead South
2210,38.0,ARC_G,Arcadis GEC,Road Design,Roads Designer
2211,38.0,ARC_G,Arcadis GEC,Road Design,Road Designer
2212,35.0,ARC_S,Acradis PAA Salary,Drafting,Pavement CAD
2213,35.0,ARC_S,Acradis PAA Salary,Lighting,Lighting Engineer/Designer
2214,38.0,ARC_G,Arcadis GEC,Drafting,Principal CAD Technician
2215,35.0,ARC_S,Acradis PAA Salary,Structures,Cut and Cover Engineer - NTSP
2216,18.0,P24,Qualified drafter/modeller,Digital Engineering,Structures BIM Coordinator
2217,35.0,ARC_S,Acradis PAA Salary,Cut &amp; Covers,Cut&Cover IV
2218,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,Civil BIM Coordinator
2219,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,Civil BIM Coordinator
2220,36.0,JCB_S,Jacobs PAA Salary,Road Civil,CAD Drafter - Roads - 4
2221,7.0,P6,Experienced engineer 1,Road Civil,"M&E, Civil and Structures Interface Manager"
2222,12.0,P8b,Engineer 3,Road Civil,Road Furniture Engineer
2223,36.0,JCB_S,Jacobs PAA Salary,Road Design,Road Designer - Zone 2
2224,36.0,JCB_S,Jacobs PAA Salary,Road Design,Road Design Lead - Zone 3
2225,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Road Designer - Optioneering
2226,3.0,P2,Technical Director,Road Civil,Road Designer - Traffic Staging
2227,36.0,JCB_S,Jacobs PAA Salary,Road Design,Road Designer - Traffic Staging
2228,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage Discipline IV
2229,36.0,JCB_S,Jacobs PAA Salary,Flooding,Flood Modelling Reviewer/IV
2230,36.0,JCB_S,Jacobs PAA Salary,Flooding,Flood Modeller
2231,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage Engineer
2232,36.0,JCB_S,Jacobs PAA Salary,Drainage,Surface Drainage Lead
2233,36.0,JCB_S,Jacobs PAA Salary,Design Management,Surface Drainage Engineer
2234,36.0,JCB_S,Jacobs PAA Salary,Drainage,Surface Drainage Engineer
2235,36.0,JCB_S,Jacobs PAA Salary,Pavements,Pavement Engineer
2236,36.0,JCB_S,Jacobs PAA Salary,Pavements,CAD Drafter - Roads
2237,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Lead
2238,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,GIR Lead
2239,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotech Design of Structures
2240,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,GIR Modelling
2241,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Hydrogeologist
2242,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Engineer
2243,36.0,JCB_S,Jacobs PAA Salary,Design Management,Ground Settlement and Impacts Lead
2244,36.0,JCB_S,Jacobs PAA Salary,Structures,Retaining Wall Engineer
2245,36.0,JCB_S,Jacobs PAA Salary,Structures,Retaining Walls - South
2246,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Lining:  TBM Mainline Design
2247,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Lining:  Cross Passages and Collars
2248,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Parklands and Community Open Space Civil Design
2249,36.0,JCB_S,Jacobs PAA Salary,Road Civil,CAD Drafting - Utilities
2250,36.0,JCB_S,Jacobs PAA Salary,Structures,REVIT Modeller
2251,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Lead - Melbourne
2252,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures SRE
2253,8.0,P7,Experienced engineer 2,Environment,Air Quality IV
2254,36.0,JCB_S,Jacobs PAA Salary,CNOP,Technical Reviewer
2255,36.0,JCB_S,Jacobs PAA Salary,Structures,Misc. Structures Lead
2256,36.0,JCB_S,Jacobs PAA Salary,Environment,Planning Lead
2257,36.0,JCB_S,Jacobs PAA Salary,Lighting,Tunnel Lighting Lead
2258,36.0,JCB_S,Jacobs PAA Salary,Project Management,Project Manager
2259,36.0,JCB_S,Jacobs PAA Salary,Design Management,Design Manager - South
2260,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Design SRE
2261,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads Package Lead
2262,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads Package Lead
2263,36.0,JCB_S,Jacobs PAA Salary,Environment,Environment Lead
2264,36.0,JCB_S,Jacobs PAA Salary,Utilities,Utilities & Tunnel Conduits SRE
2265,7.0,P6,Experienced engineer 1,Contamination,Contamination IV
2266,36.0,JCB_S,Jacobs PAA Salary,Cut &amp; Covers,Cut & Cover Lead
2267,36.0,JCB_S,Jacobs PAA Salary,Sustainability,Sustainability Lead
2268,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Design SRE
2269,36.0,JCB_S,Jacobs PAA Salary,Traffic Modelling,Traffic & Transport Advisory
2270,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Road Alignment Lead
2271,36.0,JCB_S,Jacobs PAA Salary,Design Management,Technical Manager
2272,36.0,JCB_S,Jacobs PAA Salary,ALT,ALT Member
2273,36.0,JCB_S,Jacobs PAA Salary,Project Management,Cost Controller
2274,8.0,P7,Experienced engineer 2,Project Management,Scheduler
2275,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Road Engineer
2276,36.0,JCB_S,Jacobs PAA Salary,Environment,Planning Consultant
2277,36.0,JCB_S,Jacobs PAA Salary,Contamination,Contamination Consultant
2278,36.0,JCB_S,Jacobs PAA Salary,Contamination,Contamination Consultant
